lecture,num_slides,avg_transcript_length,audience_engagement_avg,audience_engagement_std,logical_structure_avg,logical_structure_std,content_relevance_avg,content_relevance_std,expressive_clarity_avg,expressive_clarity_std
ml-1_01,53,1365.301886792453,2.452830188679245,0.3872671046618456,4.062893081761007,0.46710878220927243,4.276729559748427,0.5459088284318594,4.09433962264151,0.4403638670801333
ml-1_02,73,1485.986301369863,2.5799086757990866,0.392944712522781,3.9680365296803646,0.4974142508198311,4.30593607305936,0.46065380488535274,3.9452054794520546,0.4045028141264597
ml-1_03,42,1357.9285714285713,2.5952380952380953,0.36467094931949845,3.9523809523809526,0.4003482804316752,4.174603174603175,0.5269850598669846,3.73015873015873,0.4492577150316077
ml-1_04,53,1012.9056603773585,2.5849056603773586,0.40247981516175824,3.918238993710692,0.4429198977249467,4.113207547169812,0.5506150260849153,3.7547169811320753,0.403779914857083
ml-1_06,76,931.9605263157895,2.469298245614035,0.3894065059813263,3.960526315789474,0.3029098644232509,4.1535087719298245,0.5400707483796551,3.7324561403508776,0.3528497186857432
ml-1_07,69,1067.536231884058,1.8599033816425121,0.48306550084777466,3.739130434782609,0.5881997715901157,1.681159420289855,0.7484947478841227,3.410628019323672,0.6420578831241024
ml-1_08,65,1130.9692307692308,2.5435897435897434,0.5223120035570972,4.082051282051282,0.4410796776675185,4.0717948717948715,0.5758215980844351,3.646153846153846,0.416153530182985
ml-1_09,58,1108.3793103448277,2.5459770114942533,0.4401766252887144,3.9540229885057467,0.4478594350198857,4.235632183908046,0.6118027580638095,3.8390804597701154,0.45129823263244984
ml-1_10,62,1098.983870967742,2.2096774193548385,0.5796609491000995,3.7204301075268815,0.5337209943133624,3.591397849462366,1.3393570961869765,3.6021505376344085,0.508000508000762
ml-1_11,51,1227.921568627451,2.4444444444444446,0.48838357724079795,3.7581699346405233,0.4670400000597094,4.261437908496732,0.5304661492611781,3.5751633986928106,0.42205018855080895
ml-1_12,58,1341.4655172413793,2.568965517241379,0.45460014214518424,3.7528735632183907,0.5207594724800731,4.040229885057471,0.7336989684095315,3.689655172413793,0.47495590834867063
ml-1_13,62,1150.3870967741937,2.317204301075269,0.5310998978297984,3.6344086021505384,0.5075376372823235,3.935483870967742,0.863843045679024,3.5268817204301084,0.5211322516095752
ml-1_15,65,1657.5076923076922,2.7435897435897436,0.4320864704532161,3.6512820512820516,0.40582036782321673,3.9897435897435893,0.6263020625099949,3.6102564102564103,0.3799178948636228
ml-1_16,39,1388.6923076923076,2.2820512820512824,0.4868952932004074,3.777777777777778,0.3090575499818436,4.1880341880341865,0.5286796518110153,3.7521367521367526,0.32189087466513017
ml-1_17,52,1357.076923076923,2.371794871794872,0.5964814995618817,3.621794871794872,0.4478408435478573,3.0128205128205128,1.2782094271682136,3.5576923076923075,0.5015060275070906
